"pair","type","Only_Related_cosine","DifferenceScore_cosine","Related_score_cosine","Unrelated_score_cosine","Only_Related_API","DifferenceScore_API","Related_score_API","Unrelated_score_API"
"paradise-father","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"spring-autumn","related",0.463693547840674,NA,NA,NA,0.8,NA,NA,NA
"fidelity-devotion","related",0.55920406193121,NA,NA,NA,0.85,NA,NA,NA
"bridge-tunnel","related",0.449567129951038,NA,NA,NA,0.576,NA,NA,NA
"excellent-band","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"embassy-ministry","related",0.419031423803185,NA,NA,NA,0.6705,NA,NA,NA
"blanket-justice","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stadium-baseball","related",0.366957071485264,NA,NA,NA,0.713,NA,NA,NA
"tattoo-minus","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"tobacco-cigarette","related",0.621064200776838,NA,NA,NA,0.9,NA,NA,NA
"train-triangle","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"lower-dusty","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"reality-tree","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"unreasonable-irresponsible","related",0.469444462758645,NA,NA,NA,0.7375,NA,NA,NA
"millionaire-element","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"worm-snake","related",0.554943753219846,NA,NA,NA,0.6595,NA,NA,NA
"double-triple","related",0.560368187900196,NA,NA,NA,0.8055,NA,NA,NA
"article-newspaper","related",0.46296835680957,NA,NA,NA,0.75,NA,NA,NA
"wind-storm","related",0.54222826998574,NA,NA,NA,0.833,NA,NA,NA
"tablet-fuel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"sunset-thank","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"queen-soda","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"detonator-timer","related",0.35943523514593,NA,NA,NA,0.697,NA,NA,NA
"make-servant","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"object-comedy","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"direct-jewel","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"modern-plate","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"heritage-july","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"auction-theory","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"conclusion-assumption","related",0.42671894388644,NA,NA,NA,0.668,NA,NA,NA
"conversation-forest","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"singer-musician","related",0.653420401325092,NA,NA,NA,0.9,NA,NA,NA
"nice-judge","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"angel-baseball","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"stress-cat","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"impressive-murder","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"inability-missile","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"low-confess","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"bay-loan","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"pork-departure","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"cable-confusion","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"ass-official","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"dvd-that","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"brutal-cruel","related",0.627131300994033,NA,NA,NA,0.9,NA,NA,NA
"protect-defend","related",0.595991202965775,NA,NA,NA,0.825,NA,NA,NA
"sensational-maintain","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"allow-let","related",0.599692904806484,NA,NA,NA,0.9,NA,NA,NA
"midnight-send","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"hunting-collapse","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
"circle-lovely","unrelated",NA,NA,NA,NA,NA,NA,NA,NA
