"pair","type","cosine_similarity","API_similarity"
"paradise-father","unrelated",0.252662862353551,"0.100"
"spring-autumn","related",0.463682794462271,"0.800"
"fidelity-devotion","related",0.55920406193121,"0.850"
"bridge-tunnel","related",0.449585366855579,"0.552"
"excellent-band","unrelated",0.237818029869678,"0.143"
"embassy-ministry","related",0.419068858342581,"0.687"
"blanket-justice","unrelated",0.2104502374626,"0.050"
"stadium-baseball","related",0.366958116495934,"0.742"
"tattoo-minus","unrelated",0.178231430706687,"0.000"
"tobacco-cigarette","related",0.621064200776838,"0.900"
"train-triangle","unrelated",0.37663933526493,"0.105"
"lower-dusty","unrelated",0.241920753716069,"0.000"
"reality-tree","unrelated",0.257263077489497,"0.000"
"unreasonable-irresponsible","related",0.46943612778012,"0.675"
"millionaire-element","unrelated",0.22612681860622,"0.100"
"worm-snake","related",0.554926027583093,"0.645"
"double-triple","related",0.560368187900196,"0.800"
"article-newspaper","related",0.462952334172882,"0.750"
"wind-storm","related",0.54222826998574,"0.825"
"tablet-fuel","unrelated",0.289113954287798,"0.100"
"sunset-thank","unrelated",0.296756267542844,"0.000"
"queen-soda","unrelated",0.181347082754232,"0.050"
"detonator-timer","related",0.35943523514593,"0.712"
"make-servant","unrelated",0.270890020529359,"0.112"
"object-comedy","unrelated",0.292913732016012,"0.112"
"direct-jewel","unrelated",0.209178061407864,"0.089"
"modern-plate","unrelated",0.236631398569943,"0.114"
"heritage-july","unrelated",0.182819118824927,"0.112"
"auction-theory","unrelated",0.266839654290961,"0.133"
"conclusion-assumption","related",0.426717574169354,"0.682"
"conversation-forest","unrelated",0.330261667149165,"0.050"
"singer-musician","related",0.653420401325092,"0.900"
"nice-judge","unrelated",0.273044169265399,"0.200"
"angel-baseball","unrelated",0.205863596920922,"0.050"
"stress-cat","unrelated",0.231010360704263,"0.050"
"impressive-murder","unrelated",0.207994961168656,"0.000"
"inability-missile","unrelated",0.182382299295066,"0.000"
"low-confess","unrelated",0.205136442398103,"0.000"
"bay-loan","unrelated",0.279035241450895,"0.100"
"pork-departure","unrelated",0.228701403811181,"0.000"
"cable-confusion","unrelated",0.190133257510191,"0.100"
"ass-official","unrelated",0.370577038441451,"0.050"
"dvd-that","unrelated",0.265557743995159,"0.000"
"brutal-cruel","related",0.627091714318385,"0.900"
"protect-defend","related",0.595991202965775,"0.850"
"sensational-maintain","unrelated",0.100246538335553,"0.000"
"allow-let","related",0.599735147848325,"0.900"
"midnight-send","unrelated",0.220829700321183,"0.000"
"hunting-collapse","unrelated",0.27552860960063,"0.100"
"circle-lovely","unrelated",0.328497992164934,"0.000"
"monk-elegant","unrelated",0.238673457564788,"0.112"
"quantity-quality","related",0.50122141337881,"0.500"
"prey-ugly","unrelated",0.228003300832305,"0.000"
"hobby-sport","related",0.479035005215665,"0.750"
"underestimate-microphone","unrelated",0.184962863621327,"0.000"
"urgent-emergency","related",0.672996606154749,"0.900"
"command-order","related",0.620745362132304,"0.765"
"original-copy","related",0.423092360039163,"0.800"
"clan-family","related",0.457388941537351,"0.800"
"diamond-jewel","related",0.535569966374542,"0.900"
"property-owner","related",0.515957380649603,"0.800"
"scare-weak","unrelated",0.315344785810438,"0.200"
"medical-psychological","related",0.36180079252624,"0.654"
"avenue-street","related",0.50523645139997,"0.900"
"grateful-thank","related",0.513049007313133,"0.750"
"impossible-easy","related",0.407214459220293,"0.000"
"clean-wash","related",0.578018838226877,"0.800"
"trust-believe","related",0.493202785696841,"0.754"
"unusual-strange","related",0.722930779237327,"0.823"
"loyalty-honesty","related",0.493762008405116,"0.654"
"producer-director","related",0.652880351716736,"0.800"
"anonymous-unknown","related",0.648138280939177,"0.833"
"lipstick-concentrate","unrelated",0.187592170526371,"0.103"
"good-completely","unrelated",0.291592332615735,"0.000"
"royal-price","unrelated",0.294375936197187,"0.500"
"tired-hungry","related",0.482975711151747,"0.205"
"similar-different","related",0.652089203327798,"0.125"
"spy-traitor","related",0.416662896644608,"0.754"
"grab-science","unrelated",0.222305579248051,"0.100"
"make-do","related",0.571449144886223,"0.500"
"drown-wizard","unrelated",0.17602329333363,"0.000"
"tournament-pull","unrelated",0.311460730504703,"0.112"
"bee-remove","unrelated",0.228184142110024,"0.000"
"credit-funeral","unrelated",0.18021646696729,"0.050"
"mile-centimeter","related",0.389268852622344,"0.800"
"internal-external","related",0.748141189400086,"0.300"
"nerve-silver","unrelated",0.175033855663741,"0.100"
"rum-far","unrelated",0.361338656044383,"0.000"
"autograph-photographer","related",0.294698438217436,"0.276"
"unusual-kill","unrelated",0.308460600857914,"0.150"
"monument-statue","related",0.702730956271538,"0.800"
"contain-content","related",0.525493633811154,"0.500"
"wrong-event","unrelated",0.368441554256936,"0.130"
"white-driver","unrelated",0.285940904121348,"0.112"
"sensor-crisis","unrelated",0.222284586747187,"0.100"
"dramatic-romantic","related",0.463698623413635,"0.678"
"conference-meeting","related",0.775195786762225,"0.850"
"enable-provide","related",0.603672315969774,"0.796"
"generator-execution","unrelated",0.395349820550134,"0.220"
"relative-cousin","related",0.485799420066059,"0.800"
"passenger-sound","unrelated",0.238504915384048,"0.025"
"pork-meat","related",0.497340700424583,"0.900"
"apply-use","related",0.611659779075828,"0.800"
"deserve-worthy","related",0.478434736801005,"0.750"
"polite-escape","unrelated",0.247955769483763,"0.000"
"regional-local","related",0.552949502814926,"0.750"
"trophy-abduct","unrelated",0.203327381168926,"0.000"
"chance-dynamite","unrelated",0.26731804257391,"0.100"
"tear-cut","related",0.390941166892196,"0.300"
"tower-building","related",0.491503321619937,"0.867"
"revenge-cotton","unrelated",0.109732556984482,"0.000"
"eliminate-worker","unrelated",0.224250682193241,"0.000"
"drama-comedy","related",0.613059008641992,"0.800"
"ideal-song","unrelated",0.218879966147547,"0.142"
"orchestra-band","related",0.426585988954925,"0.850"
"pulse-pressure","related",0.613496218553076,"0.654"
"carnival-worthy","unrelated",0.269170472256106,"0.112"
"virus-infection","related",0.53377617387818,"0.850"
"comfortable-horse","unrelated",0.240098748612479,"0.125"
"potato-guilty","unrelated",0.23979408153812,"0.000"
"regional-cake","unrelated",0.141581441690023,"0.112"
"orphanage-cause","unrelated",0.233876462857683,"0.214"
"illusion-additional","unrelated",0.256553829677301,"0.100"
"observation-throne","unrelated",0.283455623712369,"0.112"
"country-description","unrelated",0.311864250536133,"0.212"
"play-fax","unrelated",0.239691032604458,"0.112"
"sea-episode","unrelated",0.346137716316267,"0.112"
"donkey-horse","related",0.545616721943068,"0.800"
"hanging-execution","related",0.332075634263479,"0.875"
"innocent-express","unrelated",0.220936405099328,"0.134"
"spoon-intention","unrelated",0.228349206329857,"0.000"
"one-three","related",0.612569569028531,"0.112"
"hurricane-disturb","unrelated",0.329331621666792,"0.000"
"buy-meeting","unrelated",0.284553789857462,"0.175"
"private-rat","unrelated",0.392636888616658,"0.030"
"gas-fuel","related",0.614366318847555,"0.850"
"dynasty-empire","related",0.546528815699777,"0.764"
"sometimes-often","related",0.68809926630319,"0.800"
"firmly-emotional","unrelated",0.272493351617625,"0.075"
"flee-escape","related",0.519973390934805,"0.912"
"support-sail","unrelated",0.303878282144981,"0.112"
"heat-corporation","unrelated",0.136309964785218,"0.100"
"forgiveness-mercy","related",0.511236703991824,"0.900"
"naturally-billion","unrelated",0.270350873792903,"0.000"
"exit-entrance","related",0.476739362052853,"0.800"
"library-cheap","unrelated",0.332581950573746,"0.112"
"short-massage","unrelated",0.215454174027376,"0.112"
"glass-stupid","unrelated",0.233189680664031,"0.000"
"camp-village","related",0.351279781299305,"0.678"
"attention-attract","related",0.391834038201755,"0.245"
"engineer-voter","unrelated",0.240252344726749,"0.112"
"influence-triple","unrelated",0.217214040824832,"0.200"
"project-program","related",0.608683849654066,"0.754"
"ambulance-strawberry","unrelated",0.213927930146249,"0.000"
"congratulate-greet","related",0.551098546258828,"0.615"
"physics-walk","unrelated",0.229607302667251,"0.112"
"man-human","related",0.704913127995815,"1.000"
"back-return","related",0.555113333368815,"0.245"
"lemonade-gentle","unrelated",0.195068535748666,"0.000"
"explanation-glory","unrelated",0.265025551760559,"0.112"
"sheriff-mayor","related",0.418435604047731,"0.726"
"lower-upper","related",0.503484652389502,"0.500"
"mail-fax","related",0.547897955961687,"0.750"
"turn-patrol","unrelated",0.298536238342862,"0.125"
"birth-still","unrelated",0.266902250759671,"0.100"
"desk-steel","unrelated",0.306059890600085,"0.215"
"property-heavenly","unrelated",0.288602443863782,"0.112"
"sunset-dawn","related",0.498657311022865,"0.800"
"lip-cheek","related",0.449693821845826,"0.743"
"pump-assist","unrelated",0.321567654293883,"0.111"
"normally-dream","unrelated",0.334112798193655,"0.120"
"fool-store","unrelated",0.224950707382688,"0.045"
"absolutely-rob","unrelated",0.187475920068777,"0.000"
"agent-western","unrelated",0.288211486881808,"0.145"
"vagina-division","unrelated",0.28998202405052,"0.000"
"ufo-alien","related",0.447170042038656,"0.822"
"exit-liar","unrelated",0.233659240506692,"0.100"
"secretary-artificial","unrelated",0.207859317707367,"0.135"
"future-chew","unrelated",0.197859850731086,"0.000"
"sword-individual","unrelated",0.246537982230396,"0.112"
"rifle-letter","unrelated",0.234240594613338,"0.112"
"nest-last","unrelated",0.44166057252882,"0.100"
"clearly-obviously","related",0.765942048301131,"0.200"
"lasagna-path","unrelated",0.256455203551178,"0.045"
"deserve-specialist","unrelated",0.270601745718182,"0.000"
"snail-turtle","related",0.459795190261661,"0.564"
"coffin-funeral","related",0.540442850737566,"0.850"
"seminar-lecture","related",0.43599047233846,"0.800"
"dna-fingerprint","related",0.318012693477242,"0.654"
"simply-catch","unrelated",0.273231413064707,"0.112"
"inspire-inspiration","related",0.72917332990703,"0.865"
"cabin-deck","related",0.459470989274372,"0.500"
"atomic-nuclear","related",0.505838699422108,"0.889"
"hearing-carpet","unrelated",0.268846487995181,"0.000"
"slave-tornado","unrelated",0.222298474458017,"0.000"
"eternal-transfer","unrelated",0.204634822685246,"0.000"
"out-gift","unrelated",0.297734735162152,"0.112"
"scary-creepy","related",0.68426469706145,"0.800"
"sea-ocean","related",0.462589354747083,"0.950"
"propose-suggest","related",0.572645771408017,"0.850"
"financially-financing","related",0.577152603563945,"0.750"
"navigation-kingdom","unrelated",0.278523228204176,"0.112"
"relationship-oil","unrelated",0.26313382457259,"0.112"
"bring-legal","unrelated",0.262176981751314,"0.000"
"monkey-gorilla","related",0.539697438224248,"0.900"
"victory-knife","unrelated",0.199751728891202,"0.000"
"secret-mystery","related",0.470135196849661,"0.800"
"service-verify","unrelated",0.33254058262304,"0.200"
"disgusting-ugly","related",0.575864631465633,"0.754"
"spoon-fork","related",0.395108162365471,"0.850"
"two-fast","unrelated",0.238111856085657,"0.000"
"lipstick-perfume","related",0.413313221685212,"0.752"
"daily-donation","unrelated",0.26399628058319,"0.123"
"exciting-directly","unrelated",0.169872346635709,"0.000"
"surgeon-doctor","related",0.515718372970883,"0.900"
"soft-gentle","related",0.538514806104445,"0.800"
"hope-blue","unrelated",0.288049557905273,"0.100"
"earthquake-disgusting","unrelated",0.186749092061761,"0.000"
"word-sentence","related",0.444385190652227,"0.823"
"desert-valley","related",0.437198830478534,"0.432"
"admire-telephone","unrelated",0.158293106632963,"0.000"
"waste-trial","unrelated",0.297169079972068,"0.150"
"trash-garbage","related",0.594070900964478,"1.000"
"quantity-go","unrelated",0.328381953681706,"0.100"
"opposite-contrary","related",0.735556819863107,"0.800"
"shower-failure","unrelated",0.214427198466252,"0.000"
"hurricane-tornado","related",0.585660218866949,"0.800"
"technical-venus","unrelated",0.17794233358571,"0.100"
"bone-skull","related",0.405329120277447,"0.850"
"ill-decade","unrelated",0.200149429761143,"0.000"
"senior-real","unrelated",0.31107112482088,"0.100"
"preparation-prison","unrelated",0.303678466367607,"0.084"
"software-computer","related",0.560238416787304,"0.875"
"philosophy-married","unrelated",0.149463714339377,"0.200"
"elsewhere-somewhere","related",0.534445441037253,"0.800"
"competition-championship","related",0.414654241265562,"0.872"
"mother-paranormal","unrelated",0.182995590975257,"0.100"
"software-hungry","unrelated",0.207469546520746,"0.000"
"radio-rabbit","unrelated",0.410604390071363,"0.037"
"popular-famous","related",0.546014201236986,"0.800"
"expert-vodka","unrelated",0.175027364437484,"0.112"
"worried-nervous","related",0.467270017852579,"0.875"
"disgusting-pressure","unrelated",0.180346877851228,"0.000"
"doll-toy","related",0.55892106970677,"0.900"
"good-bad","related",0.612197289027116,"0.000"
"total-complete","related",0.629509491906062,"0.754"
"credit-loan","related",0.509893399331918,"0.874"
"bomb-explosive","related",0.543316312306616,"0.900"
"hotel-juliet","unrelated",0.269819360309717,"0.000"
"fake-explosion","unrelated",0.20447853960797,"0.050"
"move-cigar","unrelated",0.273447720673621,"0.025"
"elsewhere-criminal","unrelated",0.26386197083284,"0.000"
"finally-eventually","related",0.493708374487267,"0.875"
"anniversary-explosive","unrelated",0.251998611831956,"0.000"
"forgive-excuse","related",0.600940629649637,"0.772"
"guard-horrible","unrelated",0.166496374121342,"0.000"
"radar-lunch","unrelated",0.215752024277708,"0.050"
"noble-brave","related",0.457898504265569,"0.556"
"cinnamon-battalion","unrelated",0.236775375750388,"0.000"
"revenge-justice","related",0.37151914128483,"0.850"
"just-recently","related",0.46731405553757,"0.000"
"member-leader","related",0.638449863569305,"0.617"
"slow-fast","related",0.563562353416892,"0.212"
"ash-dust","related",0.464032612990591,"0.765"
"listen-mountain","unrelated",0.226086214226579,"0.000"
"witness-testimony","related",0.690079952443317,"0.875"
"nobel-prize","related",0.516955100994228,"0.900"
"secret-civilization","unrelated",0.140328126930105,"0.200"
"weight-helicopter","unrelated",0.227501686848363,"0.112"
"channel-news","related",0.332842033308447,"0.732"
"bible-lobster","unrelated",0.200368760128475,"0.000"
"invasion-attack","related",0.507896708172207,"0.717"
"channel-stroll","unrelated",0.165308885330976,"0.102"
"top-bottom","related",0.738922989493685,"0.750"
"rest-sleep","related",0.458861084828975,"0.835"
"comfortable-pleasant","related",0.550798644141822,"0.726"
"spinal-abdominal","related",0.43301381699205,"0.743"
"skirt-dress","related",0.464798813466225,"0.850"
"healthy-excuse","unrelated",0.240997778099702,"0.200"
"push-very","unrelated",0.285701484476609,"0.000"
"cover-hide","related",0.555151167312862,"0.750"
"value-skull","unrelated",0.213138209138321,"0.112"
"follow-chase","related",0.406413717148081,"0.800"
"monday-tuesday","related",0.662919672015381,"0.900"
"steal-rob","related",0.352553220493564,"0.900"
"big-huge","related",0.829024703205585,"1.000"
"frequency-calm","unrelated",0.214902823027436,"0.112"
"widow-woman","related",0.483505064281396,"0.800"
"cocaine-wire","unrelated",0.239515453008869,"0.000"
"voice-approval","unrelated",0.35662811744391,"0.150"
"eye-ear","related",0.649116778136451,"0.754"
"proud-excited","related",0.541313388194529,"0.234"
"wine-dark","unrelated",0.327103916059056,"0.112"
"toilet-sink","related",0.424036774416782,"0.750"
"agent-detective","related",0.441849137870326,"0.689"
"trouble-problem","related",0.539845297596727,"0.900"
"dig-bury","related",0.362031605890637,"0.800"
"arrive-come","related",0.556804657808291,"0.850"
"open-close","related",0.610444339568315,"0.200"
"briefcase-ability","unrelated",0.233248949652778,"0.100"
